STT,Tên quán,Tên món,Phân loại món,Tên đường,Quận,Giờ mở cửa,Khoảng giá,Note
1,Bánh mì pate Hoàng Oanh,Bánh mì,Bánh mì,8 Phan Văn Hân,Quận Bình Thạnh,14h-3h,20k-25k,ngày chay nghỉ
2,Cơm Tấm Cô Bảy,Cơm tấm,Cơm,453/77A Lê Văn Sỹ,Quận 3,6h-11h30,45k,
3,Bánh mì thịt khìa Cô cúc siêu chất lượng,Bánh mì,Bánh mì,36 An Dương Vương,Quận 5,6h-11h30,25k-30k,
4,Bánh mì thịt pate nướng,Bánh mì,Bánh mì,001 Lô L chung cư Ngô Gia Tự,Quận 10,6h-20h,22-31k,
5,Cơm Tấm 2 Chị Em,Cơm tấm,Cơm,682/20 Võ Văn Kiệt,Quận 5,16h-20h,40k-65k,
6,Lẩu cá dân ích,Lẩu cá,Lẩu,99 Châu Văn Liêm,Quận 5,16h-22h,280k-350k-450k,
7,Bánh canh của 121,Bánh canh,Món nước,121 Nguyễn Trãi,Quận 5,6h-10h,24k,Bán 3 tiếng là hết
8,Mì bò Đài Loan,"Mì bò trộn, nước",Món nước,171 Nguyễn Gia Trí,Quận Bình Thạnh,18h-hết,45-55k,
9,Bún bò Quận 7 (Không gian đẹp),Bún bò,Món nước,156/5 Nguyễn Văn Linh,Quận 7,5h-21h,50-60k,
10,Bánh mì Bà Hà,Bánh mì,Bánh mì,"247 Hoàng Sa, Tân Định",Quận 1,06:00 - 17:00,15-25k,
11,RaoHe - Món Đài Loan,Món Đài Loan,Sang choảnh - Không gian xinh,119 Phạm Văn Chiêu,Quận Gò Vấp,16h-22h,,
12,Cơm Tấm Mai,Cơm tấm,Cơm,129 Đoàn Văn Bơ,Quận 4,16h-hết,50k,
13,Thơm,Quán nước,Quán nước,42CT Tam Đảo,Quận 10,9h-24h,,
14,Bún bò Nam Hưng,Bún bò,Món nước,"1 Công Trường Hoà Bình, P.19",Quận Bình Thạnh,16h-21h,,
15,Bún bò Gò vấp,Bún bò,Món nước,"69 Lê Lợi, P.4",Quận Gò Vấp,07:45 - 12:30 | 17:30 - 22:30,40-60k,
16,"Lẩu bò, nướng Cô Út","Bò né nướng, lẩu",Lẩu,"53 Trần Hưng Đạo, Phường 6",Quận 5,07:00 - 22:00,,
17,Lẩu cù lao,Lẩu miền tây,Lẩu,"410 Nguyễn Xí, P.13",Quận Bình Thạnh,15h30-22h,,
18,Bếp Chảo nhà 56,Bánh mì chảo,Món khô,53 Phan Đình Phùng,Quận Phú Nhuận,24/24,35-55k,
19,Bánh Canh Càng Cúm,Bánh canh,Món nước,108/22C Trần Quang DiệuPhường 14,Quận 3,08:00 - 21:00,40-55k,
20,Bún bò rẻ Quận 5,Bún bò,Món nước,"70 Nguyễn Duy, P.9",Quận 5,,35k,
21,Bún bò ngon số 1 Sài Gòn,Bún bò,Món nước,109 Trần Quốc Toản,Quận 3,15:00 - 20:30,60k,
22,Bánh mì chấm xíu mại,Bánh mì,Bánh mì,"284 Nam Kỳ Khởi Nghĩa, P.8",Quận 3,7h-21h,40k,
23,Bánh flan,Flan,Tráng miệng,"347/22 Minh Phụng, P.2",Quận 11,10:00 - 22:00,10-20k,
24,Mì trộn thái cay,Mì trộn,Món khô,"100 Số 13, Tân Quy",Quận 7,07:00 - 22:00,60k,
25,Ty Thy,Ăn vặt,Ăn vặt,"546 Đ. An D. Vương, Phường 10",Quận 6,12h-22h,,
26,"Bún xào, mì xào, miến xào (ăn sáng)",Ăn sáng,Món khô,"21 - 23 Nguyễn Thị Minh Khai , P. Bến Nghé",Quận 1,Sáng sớm,,"Gánh, lề đường, không có bàn"
27,Bò Kho Gánh,Bò kho,Món nước,029 Lô H chung cư Ngô Gia Tự,Quận 10,11h-22h,5 chụt,
28,Bánh bò thốt nốt Baaboo,Bánh bò,Ăn vặt,"337/37 Nguyễn Đình Chiểu, P.5",Quận 3,,,Đặt hàng online
29,"Bánh Xèo, Bánh Hỏi, Bò Lá Lốt",Các loại bánh,Món khô,023 Lô H chung cư Ngô Gia Tự,Quận 10,16h-20h,35k,
30,Katte Donut,Mochi,Ăn vặt,124 Vạn Kiếp,Quận Bình Thạnh,17h-hết,từ 17k,
31,Trà sữa Together,Trà sữa,Quán nước,"200 Nguyễn Thượng Hiền, P. 5",Quận Phú Nhuận,13:00 - 21:30,29k-40k,
32,Lò Đất BBQ,BBQ,Nhậu nhẹt,"Chi Nhánh 1: 396 Minh Phụng, Phường 9, Quận 11. 
Chi Nhánh 2: 159 Trần Tuấn Khải, Phường 5, Quận 5. 
Chi Nhánh 3: 922 Quang Trung, Phường 8, Gò vấp.",Quận Gò Vấp,16:00 - 23:30.,,
33,7 Ngày 7 Món,Món gì cũng có,Món nước,"465 Trần Hưng Đạo, Quận 5",Quận 5,6h-9h,40k,"T2 - Phở gà, Phở Bò; T3: Bún Mắm, Bò Kho; T4: Bún Gà, Miến Gà; T5: Bún Bò; T6: Bánh Canh; T7: Hủ tíu nam vang; CN: Bún Riêu. 
"
34, Bánh Mì nướng Muối Ớt,Bánh mì,Bánh mì,"50 Nguyễn Xuân Khoát, Tân Phú",Quận Tân Phú,16h30-22h,35k,
35,Chè Thốt Nốt Seoul,,Quán nước,,Quận 7,,,
36,Nem nướng Liên ,Nem nướng,Món cuốn,"Chợ Nguyễn Văn Trỗi, Q3",Quận 3,14h-19h,35k,
37,Bánh cuốn Quảng Đông,Bánh cuốn,Món khô,"28 Dương Đình Nghệ, Q11",Quận 11,6h-15h,35k-50k,
38,Bánh mì Cá Nục,Bánh mì,Bánh mì,"6 Hồ Xuân Hương, Phường 14",Quận Bình Thạnh,6h-19h,20-40k,
39,Bánh mì bì thịt chan nước mắm,Bánh mì,Bánh mì,Ngã 3 Nam Kỳ KN & Ngô Thời Nhiệm (Trường Marie Curie),Quận 3,5h-10h30,17k-20k,
40,Hẻm ăn vặt 284 Lê Văn Sỹ,Ăn vặt,Ăn vặt,284 Lê Văn Sỹ,Quận 3,,,
41,7 Ngày 7 Món,7 Ngày 7 Món,Món nước,"108/20A Trần Quang Diệu, P.14",Quận 3,6h-9h,35-50k,
42,Bánh Mì thịt xiên nướng,Bánh mì,Món khô,"375 Nguyễn Trãi, Q5",Quận 5,6h-10h30,13k,
43,Bánh Mì Chả bằng thịt ,Bánh mì,Món khô,"Ngã Tư Phạm Hữu Trí - Thuận Kiều, Q5",Quận 5,6h-10h,13k,
44, Cơm Tấm Hẻm Đình,Cơm tấm,Cơm,"Hẻm 241 Bến Vân Đồn, Q4 ",Quận 4,4h-9h,30-40k,
45,BBQ - Hàu chén nướng,Hàu,Nhậu nhẹt,"539 Phạm Văn Đồng, Bình Thạnh ",Quận Bình Thạnh,15h-1h khuya,bé hong biết,
46," Bánh Mì phá lấu, Bì ",Bánh mì,Bánh mì,"358/2 Lê Quang Sung, Q6",Quận 6,6h-8h; 13h-16h,15k,
47,Bánh mì Gánh siêu dài ngon,Bánh mì,Bánh mì,"31 Tân Tiến, Tân Bình (6h-11h)
",Quận Tân Bình,(6h-11h),"15-25k",
48, Lẩu Mini ,Lẩu,Lẩu,577 Sư Vạn Hạnh Q10 - 191 Ni Sư Huỳnh Tân Bình,Quận Tân Bình,10-22h,45k,
49,Bánh bèo,Bánh bèo,Ăn vặt,"211/116 Hoàng Hoa Thám, Phú nhuận ",Quận Phú Nhuận,14h-16h,30k,nhanh hết
50,Xôi nghệ sĩ ,Xôi,Món khô,"98 Minh Phụng, Q6",Quận 6,16h30-hết,20-25k,
51,Tiệm nướng Nọ trong vườn (View chill Đà Lạt),Nướng,Sang choảnh - Không gian xinh,80 Nguyễn Thái Sơn,Quận Gò Vấp,16h-,,
52,Buffet YinShi,"Lẩu & Nướng, Dimsum",Sang choảnh - Không gian xinh,"37B Đ. Cô Bắc, Phường Cầu Ông Lãnh",Quận 1,9h-21h30,239-269k,
53,Hủ tiếu mỹ tho dì 9,Hủ tiếu trứng cuộn,Món nước,"538/51 Đoàn Văn Bơ, P. 14",Quận 4,17:30 - 23:00,50k,
54,Bún bò Khánh Ngọc,Bún bò,Món nước,27/63 Điện Biên Phủ,Quận Bình Thạnh,11:00 - 22:00,30-50k,
55,"Cà phê sân vườn, ao thoải mái",Cafe,Quán nước,"1122/8/8 Quang Trung, P8",Quận Gò Vấp,7h-22h45,,
56, Bò bít tết cô út,bò,Món khô,"009 Lô K chung cư Nguyễn Thiện Thuật, Q.3",Quận 3,6h-12h,35-100k,
57,Đá me,Đá me,Quán nước,96 Cao Thắng,Quận 3,6h - 18h,18k,
58,Mì xào bò trứng non - Ga xe lửa,Mì,Món khô,"214 Nguyễn Phúc Nguyên, Q3",Quận 3,13h30-16h30,15k-20k,
59,Bánh mì thịt xiên nướng Q6 ,Bánh mì,Bánh mì,"165 Nguyễn Văn Luông, P.10, Q.6",Quận 6,14h30-17h," 15k-20k
",
60,Mì gà,Mì gà,Món nước,"440/14 Thống Nhất, P.16",Quận Gò Vấp,9h-21h,50k,
61,Xôi khâu nhục ,Xôi,Món khô,"259/263 Lã Binh Thăng, Q.11",Quận 11,6h-11h,35k,
62,Bún riêu cua (đắt khách) riêu siêu to,Bún riêu,Món nước,"219 Nguyễn Trãi, P. Nguyễn Cư Trinh",Quận 1,11h-22h,,
63, Hủ tiếu nam vang Chú Tứ ,Hủ tiếu,Món nước,"Đầu hẻm 73 Trần Bình Trọng, Q5",Quận 5,6h-22h,"35k-50k",
64,Cơm Tấm,Cơm tấm,Cơm,"25 Cô Giang, Phường Cầu Ông Lãnh",Quận 1,17h – 22h ,,
65,Hủ tiếu xí quách,Hủ tiếu,Món nước,"16/1 Lữ Gia, Q.11",Quận 11,"6-13h, 16h-22h)","45k-60k
",
66,Bún mì vàng Tiến Phát,Bún mì hủ tiếu,Món nước,177 Trần Quý,Quận 11,6h-22h,,
67,Hủ tiếu bò viên Trường Sa,Hủ tiếu,Món nước,"1046 Trường Sa, Q.3 
",Quận 3,(16-22h),45k,
68,Quán ốc Hoa Sữa 29,Ốc,Nhậu nhẹt,11 Hoa Sữa,Quận Phú Nhuận,15:00 - 23:59,,
69,Mì trộn muối ớt ,Mì,Món nước,"296 Hậu Giang, P.5, Q.6",Quận 6,12h-2h khuya,35k-45k,
70,Đá bào túi to đùng,Đá bào,Quán nước,"17 Trần Quang Khải, Tân Định",Quận 1,10h-23h,25-30k,
71,Dimsum Crystal Jade,Dimsum,Sang choảnh - Không gian xinh,Nhiều chi nhánh,Quận 1,10h-21h,,
72,Dimsum Hủ Tiếu Tân Sanh Hoạt,Hủ tiếu Dimsum,Món nước,322 Nguyễn Thị Minh Khai,Quận 3,4h-12h,25-65k,
73,Gò Da Quán,Đồ miền trung,Món khô,Hẻm 80 QL13,Quận Bình Thạnh,15h30-21h,,
